rank,rmse_2h,rmse_6h,rmse_12h,spectral_radius,controllability_rank,free_rmse,max_bg_dev,max_state_norm_2h,max_state_norm_6h,max_state_norm_12h
2,9.427541009759834,19.54708329090483,24.628291426562996,0.9990598091336644,2,29.633389865500178,45.12484751192126,3.7848665426547745,5.192696982149843,7.4003557448087385
3,9.424366950271578,19.556335928547004,24.662237747243314,0.9990707749182199,3,29.684202075526077,45.200644561043575,3.7848665426547745,5.191135081834433,7.401017047763037
4,9.424373768613938,19.556324459412533,24.662157020428243,0.9990707429004095,4,29.684060476293915,45.2004127615039,3.7848665426547745,5.191193463514359,7.401115472186352
5,9.436142973980404,19.51775807863479,24.523982991737288,0.999025759134476,5,29.4771450106149,44.89111216691906,3.7848665426547745,5.197226096512102,7.398348045131215
6,9.4299300618401,19.626870293590944,24.820731702719215,0.9991072632248668,6,29.89510599592485,45.488364178037315,3.7848665426547745,5.202929749165469,7.433327454099633
8,9.418569319404217,19.6732763663633,24.954224840939762,0.9991418978380671,8,30.076216825255887,45.739438617163316,3.7848665426547745,9.408910942269777,15.49391175431863
10,9.417465554374305,19.672218491503358,24.955496456592147,0.9991423857934906,10,30.07934125094016,45.7443499277547,3.7848665426547745,9.408888531534977,15.494001596165312
12,9.413108476016562,19.669244403392565,24.958920879742703,0.9991435444760373,12,30.085985551300432,45.75300758822435,3.7848665426547745,9.40961352093511,15.496630385368034
15,9.407706267242416,19.69735962991567,25.067491947244143,0.999166762994516,15,30.250914606905713,45.98422494618488,3.7848665426547745,9.436807168839128,15.550376050982768
18,19.342801014030165,20.514202880477196,18.997625292384445,0.9974605732865653,18,21.633769373126015,38.44255199608537,5.740329824170883,8.63828451772721,14.966331688138155
21,19.370807106876168,20.574240049055362,19.019910809663916,0.9974596282108998,21,21.64643162562326,38.239876549600694,5.744201899147741,8.639654229898115,14.965781679098473
24,19.272606360318935,20.372567792981307,18.964995415093544,0.9974555106383833,24,21.75750499465005,39.22580683361258,5.730095199372958,8.599676545740547,14.903929486386364
